element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary,config
S,0.6444444444444445,1.5,0.0,0.1,,,,no-transition,0.7444600843355553,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,0.05,0.0,0.1,,,,no-transition,0.14873653464528513,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,0.21111111111111108,0.0,0.1,,,,no-transition,0.4957652318322922,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,0.3722222222222222,0.0,0.1,,,,no-transition,0.7392602764767433,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,0.5333333333333333,0.0,0.1,,,,no-transition,0.9251036209648763,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,0.6944444444444444,0.0,0.1,,,,no-transition,1.0732924081677673,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,0.8555555555555555,0.0,0.1,,,,no-transition,1.1948339903088596,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,1.0166666666666666,0.0,0.1,,,,no-transition,1.2964319717978798,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,1.1777777777777778,0.0,0.1,,,,no-transition,1.3823708374384387,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,1.3388888888888888,0.0,0.1,,,,no-transition,1.4555299461480582,2.908181445272939e-05,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.188888888888889,1.5,0.0,0.1,,,,no-transition,1.518045429025273,0.0423180251653009,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,0.05,0.0,0.1,,,,no-transition,0.21727669461467414,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,0.21111111111111108,0.0,0.1,,,,no-transition,0.7325572151230723,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,0.3722222222222222,0.0,0.1,,,,no-transition,1.1051796217063348,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,0.5333333333333333,0.0,0.1,,,,no-transition,1.3979340557911695,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,0.6944444444444444,0.0,0.1,4.03,,,damage-only,1.6378330050177734,0.11651866846272106,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,0.8555555555555555,0.0,0.1,3.63,,,damage-only,1.8396785353864318,0.400338196925395,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,1.0166666666666666,0.0,0.1,3.44,,,damage-only,2.0125097964832177,0.7709123067046669,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,1.1777777777777778,0.0,0.1,3.2800000000000002,4.0,-0.7199999999999998,damage-before-nonreturn,2.1619963769381974,1.1987836404020868,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,1.3388888888888888,0.0,0.1,3.13,3.6,-0.4700000000000002,damage-before-nonreturn,2.2919225626787156,1.6644956711291063,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,1.7333333333333336,1.5,0.0,0.1,2.99,3.43,-0.43999999999999995,damage-before-nonreturn,2.405066679313537,2.1532729956872325,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,0.05,0.0,0.1,,,,no-transition,0.2860297323668365,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,0.21111111111111108,0.0,0.1,,,,no-transition,0.9740817871152182,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,0.3722222222222222,0.0,0.1,,,,no-transition,1.4840853091895938,0.004920574571938623,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,0.5333333333333333,0.0,0.1,3.52,,,damage-only,1.8942490951106354,0.35312238482912295,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,0.6944444444444444,0.0,0.1,3.31,3.54,-0.22999999999999998,damage-before-nonreturn,2.2376496491401343,0.964779284478448,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,0.8555555555555555,0.0,0.1,3.14,3.29,-0.1499999999999999,damage-before-nonreturn,2.5325201563953366,1.7372054910261352,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,1.0166666666666666,0.0,0.1,2.97,3.12,-0.1499999999999999,damage-before-nonreturn,2.7897877604972505,2.6223899717645254,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,1.1777777777777778,0.0,0.1,2.81,2.96,-0.1499999999999999,damage-before-nonreturn,3.016236914983692,3.5879538497262424,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,1.3388888888888888,0.0,0.1,2.64,2.81,-0.16999999999999993,damage-before-nonreturn,3.216236360969465,4.607497727253858,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.277777777777778,1.5,0.0,0.1,2.49,2.67,-0.17999999999999972,damage-before-nonreturn,3.3929781304383932,5.6583398849029205,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.8222222222222224,0.05,0.0,0.1,,,,no-transition,0.35497328050456767,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
S,2.8222222222222224,0.21111111111111108,0.0,0.1,,,,no-transition,1.2195973634528334,0.0,1.4550155332250634,2.159713275720889,"k=0.0,th=0.1"
