element,A,sigma,k_memory,damage_threshold,first_damage,first_nonreturn,delta_damage_minus_nonreturn,regime,max_r,final_damage,r_core,r_boundary
O,2.2,1.0857142857142856,0.0,0.1,3.29,,,damage-only,2.644117696268106,1.2606237920880066,1.8281943454140903,3.4663242049803253
O,2.2,1.1892857142857143,0.0,0.1,3.19,,,damage-only,2.762405963137389,1.6281504273554894,1.8281943454140903,3.4663242049803253
O,2.2,1.292857142857143,0.0,0.1,3.1,,,damage-only,2.8705640788311966,2.014773711060807,1.8281943454140903,3.4663242049803253
O,2.2,1.3964285714285714,0.0,0.1,3.0100000000000002,,,damage-only,2.9695161353770336,2.41541776922477,1.8281943454140903,3.4663242049803253
O,2.2,1.5,0.0,0.1,2.92,,,damage-only,3.060128389759094,2.825693252860712,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.05,0.0,0.1,,,,no-transition,0.31996199151218513,0.0,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.15357142857142858,0.0,0.1,,,,no-transition,0.8432377067020793,0.0,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.2571428571428571,0.0,0.1,,,,no-transition,1.2602951032921352,0.0,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.3607142857142857,0.0,0.1,,,,no-transition,1.6101077859400401,0.0,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.46428571428571425,0.0,0.1,,,,no-transition,1.9119179421261057,0.02479637675248796,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.5678571428571428,0.0,0.1,3.65,,,damage-only,2.1772240499401185,0.2362460270070191,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.6714285714285715,0.0,0.1,3.47,,,damage-only,2.4136078779925096,0.5622907698190583,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.775,0.0,0.1,3.35,,,damage-only,2.6263977983587066,0.9674868604821294,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.8785714285714286,0.0,0.1,3.24,,,damage-only,2.8194582295450656,1.4330988118281245,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,0.9821428571428571,0.0,0.1,3.13,,,damage-only,2.9956619401286133,1.9464248355461942,1.8281943454140903,3.4663242049803253
O,2.5500000000000003,1.0857142857142856,0.0,0.1,3.0300000000000002,,,damage-only,3.1571009058869595,2.4977560681748967,1.8281943454140903,3.4663242049803253
